Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Door_To_Diag_Eval_2016,Door_To_Diag_Eval_2015,Door_To_Diag_Eval_2014,Door_To_Diag_Eval_2013,Always_Quiet_Night_2016,Always_Quiet_Night_2015,Always_Quiet_Night_2014,Always_Quiet_Night_2013,Always_Quiet_Night_2012,Always_Quiet_Night_2011,Always_Quiet_Night_2010,Always_Quiet_Night_2009,Always_Quiet_Night_2008,Sometimes_Quiet_2016,Sometimes_Quiet_2015,Sometimes_Quiet_Night_2014,Sometimes_Quiet_Night_2013,Sometimes_Quiet_Night_2012,Sometimes_Quiet_Night_2011,Sometimes_Quiet_Night_2010,Sometimes_Quiet_Night_2009,Sometimes_Quiet_Night_2008,Usually_Quiet_2016,Usually_Quiet_2015,Usually_Quiet_2014,Usually_Quiet_2013,Usually_Quiet_2012,Usually_Quiet_2011,Usually_Quiet_2010,Usually_Quiet_2009,Usually_Quiet_2008,Hospital_Rating_Low_2016,Hospital_Rating_Low_2015,Hospital_Rating_Low_2014,Hospital_Rating_Low_2013,Hospital_Rating_Low_2012,Hospital_Rating_Low_2011,Hospital_Rating_Low_2010,Hospital_Rating_Low_2009,Hospital_Rating_Low_2008,Hospital_Rating_Medium_2016,Hospital_Rating_Medium_2015,Hospital_Rating_Medium_2014,Hospital_Rating_Medium_2013,Hospital_Rating_Medium_2012,Hospital_Rating_Medium_2011,Hospital_Rating_Medium_2010,Hospital_Rating_Medium_2009,Hospital_Rating_Medium_2008,Hospital_Rating_High_2016,Hospital_Rating_High_2015,Hospital_Rating_High_2014,Hospital_Rating_High_2013,Hospital_Rating_High_2012,Hospital_Rating_High_2011,Hospital_Rating_High_2010,Hospital_Rating_High_2009,Hospital_Rating_High_2008,Recommend_Yes_2016,Recommend_Yes_2015,Recommend_Yes_2014,Recommend_Yes_2013,Recommend_Yes_2012,Recommend_Yes_2011,Recommend_Yes_2010,Recommend_Yes_2009,Recommend_Yes_2008,Recommend_Probably_2016,Recommend_Probably_2015,Recommend_Probably_2014,Recommend_Probably_2013,Recommend_Probably_2012,Recommend_Probably_2011,Recommend_Probably_2010,Recommend_Probably_2009,Recommend_Probably_2008,Recommend_No_2016,Recommend_No_2015,Recommend_No_2014,Recommend_No_2013,Recommend_No_2012,Recommend_No_2011,Recommend_No_2010,Recommend_No_2009,Recommend_No_2008
140019,SHELBY MEMORIAL HOSPITAL,200 S CEDAR ST,SHELBYVILLE,IL,62565,SHELBY,2177743961,20,20,18,20,74,61,60,,,,,,,2,9,7,,,,,,,24,24,33,,,,,,,3,6,3,,,,,,,32,28,25,,,,,,,65,66,72,,,,,,,73,63,69,,,,,,,24,34,29,,,,,,,3,3,2,,,,,,
140029,COPLEY MEMORIAL HOSPITAL,2000 OGDEN AVENUE,AURORA,IL,60504,KANE,6309786200,37,37,35,37,53,61,54,,,,,,,12,12,13,,,,,,,35,36,33,,,,,,,6,6,7,,,,,,,19,22,21,,,,,,,75,72,72,,,,,,,77,73,76,,,,,,,19,23,20,,,,,,,4,4,4,,,,,,
140030,SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,KANE,8477429800,20,21,21,19,63,61,67,,,,,,,7,6,5,,,,,,,30,30,28,,,,,,,6,5,6,,,,,,,20,21,21,,,,,,,74,74,73,,,,,,,75,75,74,,,,,,,21,21,23,,,,,,,4,4,3,,,,,,
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,EFFINGHAM,2173422121,12,15,19,29,63,61,56,,,,,,,7,8,9,,,,,,,30,33,35,,,,,,,6,7,7,,,,,,,20,23,24,,,,,,,74,70,69,,,,,,,71,68,66,,,,,,,26,29,31,,,,,,,3,3,3,,,,,,
140033,VISTA MEDICAL CENTER WEST,2615 WASHINGTON ST,WAUKEGAN,IL,60085,LAKE,8472493900,12,14,10,18,Not Available,61,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,,Not Available,Not Available,Not Available,,,,,,
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,MARION,6184366519,30,36,38,34,64,61,65,,,,,,,6,6,9,,,,,,,30,30,26,,,,,,,6,5,5,,,,,,,21,24,19,,,,,,,73,71,76,,,,,,,72,72,75,,,,,,,23,24,22,,,,,,,5,4,3,,,,,,
140040,GALESBURG COTTAGE HOSPITAL,695 N KELLOGG ST,GALESBURG,IL,61401,KNOX,3093454555,19,21,17,19,56,61,58,,,,,,,12,9,9,,,,,,,32,30,33,,,,,,,9,8,7,,,,,,,24,27,23,,,,,,,67,65,70,,,,,,,64,64,66,,,,,,,30,30,29,,,,,,,6,6,5,,,,,,
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,WHITESIDE,8156250400,14,14,17,22,60,61,61,,,,,,,6,8,7,,,,,,,34,35,32,,,,,,,6,6,5,,,,,,,23,19,19,,,,,,,71,75,76,,,,,,,67,69,71,,,,,,,30,28,26,,,,,,,3,3,3,,,,,,
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,JEFFERSON,6188991469,30,32,38,33,66,61,67,,,,,,,8,9,7,,,,,,,26,30,26,,,,,,,7,8,6,,,,,,,16,18,18,,,,,,,77,74,76,,,,,,,77,73,75,,,,,,,18,23,21,,,,,,,5,4,4,,,,,,
140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,COOK,7739672000,82,79,76,80,62,61,64,,,,,,,10,11,10,,,,,,,28,27,26,,,,,,,13,15,10,,,,,,,24,25,24,,,,,,,63,60,66,,,,,,,56,57,62,,,,,,,34,33,31,,,,,,,10,10,7,,,,,,
140049,WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,60302,COOK,7083836200,46,68,50,26,58,61,60,,,,,,,15,14,12,,,,,,,27,26,28,,,,,,,10,9,10,,,,,,,30,30,29,,,,,,,60,61,61,,,,,,,63,60,60,,,,,,,28,31,32,,,,,,,9,9,8,,,,,,
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,19,17,14,17,59,61,60,,,,,,,11,9,9,,,,,,,30,29,31,,,,,,,4,6,6,,,,,,,20,13,20,,,,,,,76,81,74,,,,,,,79,77,73,,,,,,,19,19,23,,,,,,,2,4,4,,,,,,
140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,SANGAMON,2175446464,15,13,25,24,63,61,52,,,,,,,8,7,13,,,,,,,29,30,35,,,,,,,7,6,8,,,,,,,20,19,22,,,,,,,73,75,70,,,,,,,75,76,74,,,,,,,21,21,21,,,,,,,4,3,5,,,,,,
140054,MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,COOK,7087839100,28,32,22,35,50,61,50,,,,,,,16,16,16,,,,,,,34,33,34,,,,,,,12,11,9,,,,,,,25,25,23,,,,,,,63,64,68,,,,,,,60,62,66,,,,,,,33,31,28,,,,,,,7,7,6,,,,,,
140058,PASSAVANT AREA HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,MORGAN,2172459551,26,33,41,36,55,61,58,,,,,,,9,11,10,,,,,,,36,36,32,,,,,,,6,6,7,,,,,,,22,26,22,,,,,,,72,68,71,,,,,,,69,72,66,,,,,,,28,25,30,,,,,,,3,3,4,,,,,,
140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,JERSEY,6184986402,25,30,20,16,74,61,66,,,,,,,5,4,3,,,,,,,21,22,31,,,,,,,4,6,7,,,,,,,22,21,21,,,,,,,74,73,72,,,,,,,65,71,66,,,,,,,33,26,32,,,,,,,2,3,2,,,,,,
140062,PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,COOK,7089234000,36,33,42,61,53,61,51,,,,,,,12,11,14,,,,,,,35,37,35,,,,,,,5,7,9,,,,,,,19,20,23,,,,,,,76,73,68,,,,,,,78,75,70,,,,,,,19,21,25,,,,,,,3,4,5,,,,,,
140063,RUSH OAK PARK HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,60304,COOK,7083839300,35,34,24,20,65,61,65,,,,,,,7,6,9,,,,,,,28,28,26,,,,,,,5,6,6,,,,,,,22,21,21,,,,,,,73,73,73,,,,,,,72,72,73,,,,,,,26,25,23,,,,,,,2,3,4,,,,,,
50191,ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,90813,LOS ANGELES,5624919000,#N/A,#N/A,#N/A,#N/A,#N/A,61,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,60525,COOK,7083521200,29,25,25,29,64,61,63,,,,,,,7,7,7,,,,,,,29,29,30,,,,,,,4,4,4,,,,,,,19,18,18,,,,,,,77,78,78,,,,,,,78,80,79,,,,,,,19,18,18,,,,,,,3,2,3,,,,,,
50104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,3109008900,#N/A,#N/A,#N/A,#N/A,#N/A,61,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,
140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,COOK,7739953000,100,100,78,71,51,61,54,,,,,,,20,15,21,,,,,,,29,29,25,,,,,,,35,33,31,,,,,,,35,30,29,,,,,,,30,37,40,,,,,,,28,28,36,,,,,,,42,48,39,,,,,,,30,24,25,,,,,,
140077,TOUCHETTE REGIONAL HOSPITAL INC,5900 BOND AVENUE,CENTREVILLE,IL,62207,SAINT CLAIR,6183323060,60,68,52,51,71,61,72,,,,,,,11,11,10,,,,,,,18,24,18,,,,,,,14,12,9,,,,,,,29,26,26,,,,,,,57,62,65,,,,,,,56,60,58,,,,,,,35,33,32,,,,,,,9,7,10,,,,,,
140080,PRESENCE SAINT FRANCIS HOSPITAL,355 RIDGE AVE,EVANSTON,IL,60202,COOK,8473164000,24,24,15,54,52,61,55,,,,,,,16,13,12,,,,,,,32,30,33,,,,,,,7,7,8,,,,,,,27,19,22,,,,,,,66,74,70,,,,,,,64,71,69,,,,,,,29,24,24,,,,,,,7,5,7,,,,,,
140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,COOK,7738788700,31,30,27,25,58,61,55,,,,,,,15,16,15,,,,,,,27,30,30,,,,,,,12,11,12,,,,,,,29,29,29,,,,,,,59,60,59,,,,,,,61,61,59,,,,,,,30,31,33,,,,,,,9,8,8,,,,,,
140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,COOK,7736264300,15,14,38,49,Not Available,61,60,,,,,,,Not Available,14,18,,,,,,,Not Available,35,22,,,,,,,Not Available,17,28,,,,,,,Not Available,23,27,,,,,,,Not Available,60,45,,,,,,,Not Available,61,40,,,,,,,Not Available,30,42,,,,,,,Not Available,9,18,,,,,,
140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,LAKE,8473604000,22,26,16,21,56,61,56,,,,,,,14,16,14,,,,,,,30,31,30,,,,,,,13,13,11,,,,,,,27,29,28,,,,,,,60,58,61,,,,,,,54,53,58,,,,,,,34,35,33,,,,,,,12,12,9,,,,,,
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,COOK,7737021000,50,58,66,108,65,61,60,,,,,,,8,9,12,,,,,,,27,26,28,,,,,,,6,7,8,,,,,,,16,17,20,,,,,,,78,76,72,,,,,,,80,78,75,,,,,,,17,19,21,,,,,,,3,3,4,,,,,,
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,MCDONOUGH,3098334101,12,14,12,21,71,61,66,,,,,,,5,8,5,,,,,,,24,28,29,,,,,,,6,8,6,,,,,,,25,26,28,,,,,,,69,66,66,,,,,,,61,57,65,,,,,,,34,37,31,,,,,,,5,6,4,,,,,,
140091,THE CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL,61801,CHAMPAIGN,2173833311,27,25,17,19,61,61,54,,,,,,,9,9,12,,,,,,,30,30,34,,,,,,,6,5,6,,,,,,,18,18,20,,,,,,,76,77,74,,,,,,,77,80,78,,,,,,,20,17,19,,,,,,,3,3,3,,,,,,
140093,PRESENCE UNITED SAMARITANS MEDICAL CENTER,812 N LOGAN,DANVILLE,IL,61832,VERMILION,2174435000,34,39,36,33,61,61,67,,,,,,,11,7,8,,,,,,,28,29,25,,,,,,,9,9,4,,,,,,,25,19,21,,,,,,,66,72,75,,,,,,,63,65,69,,,,,,,31,30,28,,,,,,,6,5,3,,,,,,
140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,COOK,7735211710,60,79,69,102,57,61,55,,,,,,,11,15,11,,,,,,,32,25,34,,,,,,,9,12,11,,,,,,,27,26,27,,,,,,,64,62,62,,,,,,,68,64,61,,,,,,,27,28,31,,,,,,,5,8,8,,,,,,
140100,MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,60099,LAKE,8478724561,35,44,39,40,67,61,64,,,,,,,4,4,4,,,,,,,29,30,32,,,,,,,1,2,2,,,,,,,7,10,11,,,,,,,92,88,87,,,,,,,93,90,89,,,,,,,7,9,11,,,,,,,0,1,0,,,,,,
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,GRUNDY,8159422932,18,16,20,12,59,61,61,,,,,,,10,8,6,,,,,,,31,32,33,,,,,,,5,7,4,,,,,,,16,16,12,,,,,,,79,77,84,,,,,,,78,75,80,,,,,,,18,22,18,,,,,,,4,3,2,,,,,,
140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,COOK,7739623900,37,41,26,20,65,61,60,,,,,,,14,17,16,,,,,,,21,22,24,,,,,,,21,22,28,,,,,,,33,35,26,,,,,,,46,43,46,,,,,,,44,40,37,,,,,,,38,42,43,,,,,,,18,18,20,,,,,,
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,1100 EAST NORRIS DRIVE,OTTAWA,IL,61350,LA SALLE,8154333100,12,12,16,37,54,61,61,,,,,,,12,12,9,,,,,,,34,34,30,,,,,,,11,9,5,,,,,,,25,26,26,,,,,,,64,65,69,,,,,,,62,61,68,,,,,,,31,33,28,,,,,,,7,6,4,,,,,,
140113,PRESENCE COVENANT MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,IL,61801,CHAMPAIGN,2173372000,28,30,28,45,58,61,62,,,,,,,9,7,11,,,,,,,33,31,27,,,,,,,6,6,5,,,,,,,20,21,24,,,,,,,74,73,71,,,,,,,78,76,75,,,,,,,19,21,21,,,,,,,3,3,4,,,,,,
140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,COOK,7738788200,45,48,70,71,52,61,47,,,,,,,13,14,15,,,,,,,35,37,38,,,,,,,8,8,9,,,,,,,27,27,25,,,,,,,65,65,66,,,,,,,67,66,68,,,,,,,27,27,26,,,,,,,6,7,6,,,,,,
140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,COOK,3125256780,17,22,28,26,53,61,66,,,,,,,13,18,11,,,,,,,34,34,23,,,,,,,16,19,13,,,,,,,23,26,30,,,,,,,61,55,57,,,,,,,59,52,56,,,,,,,31,34,35,,,,,,,10,14,9,,,,,,
140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,MCHENRY,8153445000,55,55,51,42,53,61,46,,,,,,,15,16,18,,,,,,,32,35,36,,,,,,,8,9,12,,,,,,,22,23,23,,,,,,,70,68,65,,,,,,,68,67,66,,,,,,,27,28,28,,,,,,,5,5,6,,,,,,
140117,PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,COOK,7737748000,14,12,11,20,53,61,57,,,,,,,15,16,12,,,,,,,32,29,31,,,,,,,7,8,8,,,,,,,25,24,25,,,,,,,68,68,67,,,,,,,66,68,70,,,,,,,29,25,26,,,,,,,5,7,4,,,,,,
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,29,27,27,31,62,61,63,,,,,,,8,10,10,,,,,,,30,24,27,,,,,,,10,11,9,,,,,,,26,24,25,,,,,,,64,65,66,,,,,,,64,64,68,,,,,,,29,28,25,,,,,,,7,8,7,,,,,,
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,COOK,3129425000,70,56,66,129,68,61,70,,,,,,,6,6,5,,,,,,,26,25,25,,,,,,,4,5,4,,,,,,,16,15,16,,,,,,,80,80,80,,,,,,,83,83,83,,,,,,,15,14,15,,,,,,,2,3,2,,,,,,
140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,IL,61554,TAZEWELL,3093471151,31,38,31,25,59,61,55,,,,,,,10,8,12,,,,,,,31,34,33,,,,,,,9,7,9,,,,,,,20,20,26,,,,,,,71,73,65,,,,,,,65,69,62,,,,,,,28,25,32,,,,,,,7,6,6,,,,,,
140122,ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,60521,DUPAGE,6308569000,25,27,28,31,63,61,59,,,,,,,8,8,9,,,,,,,29,29,32,,,,,,,5,5,5,,,,,,,16,18,16,,,,,,,79,77,79,,,,,,,80,80,80,,,,,,,17,17,17,,,,,,,3,3,3,,,,,,
140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612,COOK,3128646000,51,57,132,170,54,61,53,,,,,,,18,16,20,,,,,,,28,31,27,,,,,,,11,12,14,,,,,,,25,29,32,,,,,,,64,59,54,,,,,,,69,66,61,,,,,,,25,29,33,,,,,,,6,5,6,,,,,,
140125,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE,GRANITE CITY,IL,62040,MADISON,6187983175,19,20,18,25,53,61,61,,,,,,,14,12,11,,,,,,,33,33,28,,,,,,,12,12,12,,,,,,,29,26,25,,,,,,,59,62,63,,,,,,,54,54,57,,,,,,,36,34,34,,,,,,,10,12,9,,,,,,
140127,ADVOCATE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,NORMAL,IL,61761,MCLEAN,3094541400,16,16,20,39,64,61,62,,,,,,,7,7,9,,,,,,,29,32,29,,,,,,,4,5,5,,,,,,,17,17,17,,,,,,,79,78,78,,,,,,,81,79,80,,,,,,,17,19,17,,,,,,,2,2,3,,,,,,
140130,NORTHWESTERN LAKE FOREST HOSPITAL,660 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,LAKE,8472345600,10,12,22,33,53,61,53,,,,,,,15,17,15,,,,,,,32,36,32,,,,,,,9,11,10,,,,,,,22,22,23,,,,,,,69,67,67,,,,,,,74,71,68,,,,,,,20,21,27,,,,,,,6,8,5,,,,,,
31313,HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,SANTA CRUZ,5202853000,#N/A,#N/A,#N/A,#N/A,#N/A,61,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,IL,62526,MACON,2178778121,38,34,18,63,63,61,63,,,,,,,9,7,8,,,,,,,28,30,29,,,,,,,8,6,7,,,,,,,21,22,25,,,,,,,71,72,68,,,,,,,72,74,71,,,,,,,23,23,25,,,,,,,5,3,4,,,,,,
140137,GREENVILLE REGIONAL HOSPITAL,200 HEALTHCARE DR,GREENVILLE,IL,62246,BOND,6186641230,20,20,27,26,69,61,55,,,,,,,6,8,12,,,,,,,25,25,33,,,,,,,9,8,9,,,,,,,20,22,19,,,,,,,71,70,72,,,,,,,66,67,63,,,,,,,29,30,29,,,,,,,5,3,8,,,,,,
140143,ST MARGARETS HOSPITAL,600 E 1ST ST,SPRING VALLEY,IL,61362,BUREAU,8156641176,25,26,25,16,63,61,63,,,,,,,6,5,7,,,,,,,31,28,30,,,,,,,4,5,5,,,,,,,19,20,20,,,,,,,77,75,75,,,,,,,74,74,72,,,,,,,24,23,25,,,,,,,2,3,3,,,,,,
